img_id,imgSize,bbox_coord,bbox_area,bbox_category,num_box
442.png,"(1622, 626)","[[6, 482, 22, 14], [32, 480, 18, 17], [863, 397, 27, 25]]","[308, 306, 675]","[7, 6, 5]",3
445.png,"(1622, 626)","[[1435, 240, 129, 86]]",[11094],[2],1
447.png,"(1622, 626)","[[866, 414, 18, 16], [719, 417, 6, 4]]","[288, 24]","[6, 5]",2
449.png,"(1622, 626)","[[184, 353, 34, 39]]",[1326],[5],1
456.png,"(1622, 626)","[[1217, 393, 30, 26], [886, 405, 6, 5]]","[780, 30]","[6, 1]",2
457.png,"(1622, 626)","[[905, 242, 24, 24], [903, 273, 29, 19], [826, 131, 37, 34], [865, 125, 37, 37]]","[576, 551, 1258, 1369]","[2, 5, 4, 4]",4
458.png,"(1622, 626)","[[1138, 432, 21, 16]]",[336],[3],1
459.png,"(1622, 626)","[[1530, 98, 91, 126]]",[11466],[2],1
460.png,"(1622, 626)","[[883, 417, 16, 14]]",[224],[1],1
463.png,"(1622, 626)","[[941, 412, 19, 15]]",[285],[5],1
468.png,"(1622, 626)","[[872, 403, 7, 7]]",[49],[1],1
469.png,"(1622, 626)","[[602, 406, 14, 12]]",[168],[1],1
472.png,"(1622, 626)","[[887, 193, 18, 21], [834, 213, 9, 8], [834, 222, 9, 8]]","[378, 72, 72]","[3, 5, 2]",3
474.png,"(1622, 626)","[[807, 215, 7, 7], [816, 217, 7, 7]]","[49, 49]","[2, 6]",2
483.png,"(1622, 626)","[[990, 186, 60, 58], [760, 208, 11, 9], [287, 210, 15, 19], [286, 187, 15, 21]]","[3480, 99, 285, 315]","[2, 6, 2, 5]",4
484.png,"(1622, 626)","[[694, 439, 50, 40]]",[2000],[6],1
488.png,"(1622, 626)","[[887, 410, 4, 4]]",[16],[1],1
491.png,"(1622, 626)","[[1110, 269, 39, 43]]",[1677],[2],1
499.png,"(1622, 626)","[[839, 273, 27, 27]]",[729],[2],1
500.png,"(1622, 626)","[[668, 366, 20, 17]]",[340],[6],1
507.png,"(1622, 626)","[[837, 402, 12, 11], [311, 394, 15, 16]]","[132, 240]","[1, 5]",2
509.png,"(1622, 626)","[[820, 424, 9, 7]]",[63],[1],1
510.png,"(1622, 626)","[[893, 354, 72, 73], [542, 374, 8, 8]]","[5256, 64]","[6, 6]",2
515.png,"(1622, 626)","[[745, 389, 28, 28], [926, 363, 77, 69]]","[784, 5313]","[4, 6]",2
517.png,"(1622, 626)","[[805, 390, 36, 31], [1256, 386, 30, 20], [1156, 399, 15, 12]]","[1116, 600, 180]","[1, 4, 6]",3
518.png,"(1622, 626)","[[987, 421, 37, 33], [989, 456, 41, 29]]","[1221, 1189]","[6, 6]",2
525.png,"(1622, 626)","[[867, 309, 12, 10]]",[120],[2],1
528.png,"(1622, 626)","[[786, 463, 11, 9], [501, 455, 9, 12]]","[99, 108]","[2, 1]",2
529.png,"(1622, 626)","[[54, 330, 110, 119], [951, 387, 15, 20], [970, 390, 21, 15]]","[13090, 300, 315]","[1, 5, 4]",3
546.png,"(1622, 626)","[[669, 340, 25, 22]]",[550],[6],1
547.png,"(1622, 626)","[[1247, 398, 28, 25]]",[700],[4],1
552.png,"(1622, 626)","[[995, 388, 27, 28]]",[756],[5],1
553.png,"(1622, 626)","[[1417, 378, 62, 54]]",[3348],[4],1
555.png,"(1622, 626)","[[864, 401, 8, 7]]",[56],[1],1
557.png,"(1622, 626)","[[544, 287, 23, 19]]",[437],[6],1
558.png,"(1622, 626)","[[1348, 181, 33, 48], [1338, 261, 31, 42]]","[1584, 1302]","[2, 2]",2
560.png,"(1622, 626)","[[1051, 113, 124, 94]]",[11656],[2],1
561.png,"(1622, 626)","[[624, 370, 51, 42]]",[2142],[6],1
567.png,"(1622, 626)","[[1324, 129, 64, 63], [1314, 190, 69, 58]]","[4032, 4002]","[5, 2]",2
568.png,"(1622, 626)","[[672, 368, 64, 51], [1328, 378, 38, 28]]","[3264, 1064]","[1, 4]",2
569.png,"(1622, 626)","[[326, 66, 91, 91]]",[8281],[2],1
572.png,"(1622, 626)","[[803, 405, 11, 11]]",[121],[1],1
577.png,"(1622, 626)","[[1045, 480, 19, 16]]",[304],[6],1
580.png,"(1622, 626)","[[651, 319, 56, 45]]",[2520],[6],1
581.png,"(1622, 626)","[[923, 285, 91, 87]]",[7917],[6],1
583.png,"(1622, 626)","[[868, 413, 6, 5]]",[30],[1],1
584.png,"(1622, 626)","[[820, 222, 7, 7]]",[49],[5],1
591.png,"(1622, 626)","[[924, 335, 12, 14], [457, 338, 13, 14], [457, 321, 16, 15], [1533, 297, 44, 33]]","[168, 182, 240, 1452]","[2, 6, 6, 2]",4
593.png,"(1622, 626)","[[301, 400, 18, 19]]",[342],[5],1
596.png,"(1622, 626)","[[879, 407, 7, 6]]",[42],[1],1
598.png,"(1622, 626)","[[613, 255, 20, 19], [678, 322, 11, 11]]","[380, 121]","[4, 4]",2
600.png,"(1622, 626)","[[217, 276, 19, 15]]",[285],[5],1
608.png,"(1622, 626)","[[1458, 443, 36, 41], [850, 462, 14, 12]]","[1476, 168]","[1, 2]",2
610.png,"(1622, 626)","[[0, 256, 32, 42], [810, 322, 24, 20]]","[1344, 480]","[5, 2]",2
611.png,"(1622, 626)","[[0, 129, 34, 35]]",[1190],[5],1
613.png,"(1622, 626)","[[809, 428, 12, 11]]",[132],[1],1
615.png,"(1622, 626)","[[550, 377, 23, 21]]",[483],[6],1
617.png,"(1622, 626)","[[566, 222, 10, 11]]",[110],[6],1
618.png,"(1622, 626)","[[1032, 238, 110, 109], [758, 473, 7, 7]]","[11990, 49]","[3, 2]",2
622.png,"(1622, 626)","[[979, 216, 29, 27], [976, 181, 35, 30]]","[783, 1050]","[2, 5]",2
624.png,"(1622, 626)","[[1059, 444, 15, 11]]",[165],[6],1
627.png,"(1622, 626)","[[54, 399, 39, 29]]",[1131],[4],1
628.png,"(1622, 626)","[[824, 257, 46, 44]]",[2024],[2],1
629.png,"(1622, 626)","[[815, 288, 10, 10], [815, 307, 9, 9]]","[100, 81]","[2, 2]",2
630.png,"(1622, 626)","[[611, 452, 17, 16], [630, 452, 16, 15]]","[272, 240]","[6, 6]",2
634.png,"(1622, 626)","[[735, 269, 37, 37]]",[1369],[4],1
642.png,"(1622, 626)","[[1012, 296, 32, 35]]",[1120],[2],1
646.png,"(1622, 626)","[[829, 402, 16, 19]]",[304],[5],1
652.png,"(1622, 626)","[[1601, 370, 20, 49], [1470, 405, 14, 13]]","[980, 182]","[2, 6]",2
654.png,"(1622, 626)","[[906, 160, 57, 46]]",[2622],[6],1
660.png,"(1622, 626)","[[1169, 175, 52, 54]]",[2808],[2],1
663.png,"(1622, 626)","[[966, 460, 44, 38]]",[1672],[6],1
667.png,"(1622, 626)","[[1421, 380, 31, 34]]",[1054],[6],1
669.png,"(1622, 626)","[[843, 427, 25, 26]]",[650],[2],1
672.png,"(1622, 626)","[[744, 414, 21, 19]]",[399],[6],1
673.png,"(1622, 626)","[[853, 356, 10, 8]]",[80],[2],1
674.png,"(1622, 626)","[[792, 485, 7, 8]]",[56],[2],1
685.png,"(1622, 626)","[[1113, 335, 17, 18]]",[306],[7],1
688.png,"(1622, 626)","[[926, 420, 8, 8]]",[64],[1],1
693.png,"(1622, 626)","[[1310, 371, 31, 25], [637, 365, 71, 68]]","[775, 4828]","[4, 1]",2
697.png,"(1622, 626)","[[847, 270, 37, 38]]",[1406],[2],1
698.png,"(1622, 626)","[[971, 87, 116, 101], [976, 0, 106, 86]]","[11716, 9116]","[2, 3]",2
701.png,"(1622, 626)","[[776, 476, 11, 10]]",[110],[3],1
704.png,"(1622, 626)","[[769, 245, 67, 65]]",[4355],[6],1
707.png,"(1622, 626)","[[732, 393, 28, 31], [1207, 387, 23, 23]]","[868, 529]","[1, 4]",2
709.png,"(1622, 626)","[[328, 439, 79, 79], [604, 465, 31, 28]]","[6241, 868]","[3, 1]",2
716.png,"(1622, 626)","[[827, 333, 27, 22], [792, 365, 8, 8]]","[594, 64]","[3, 2]",2
717.png,"(1622, 626)","[[914, 419, 10, 9]]",[90],[1],1
718.png,"(1622, 626)","[[991, 234, 25, 22], [992, 258, 24, 22], [441, 275, 27, 20]]","[550, 528, 540]","[1, 7, 5]",3
721.png,"(1622, 626)","[[1093, 443, 111, 96]]",[10656],[6],1
728.png,"(1622, 626)","[[613, 348, 10, 9]]",[90],[6],1
732.png,"(1622, 626)","[[922, 242, 23, 22], [279, 204, 25, 27], [278, 173, 29, 28]]","[506, 675, 812]","[2, 2, 5]",3
736.png,"(1622, 626)","[[614, 452, 19, 18]]",[342],[6],1
738.png,"(1622, 626)","[[727, 392, 16, 18], [691, 395, 12, 13]]","[288, 156]","[6, 4]",2
739.png,"(1622, 626)","[[819, 465, 15, 13]]",[195],[2],1
748.png,"(1622, 626)","[[760, 408, 11, 12]]",[132],[1],1
750.png,"(1622, 626)","[[1087, 199, 57, 53]]",[3021],[2],1
752.png,"(1622, 626)","[[915, 419, 12, 10]]",[120],[1],1
753.png,"(1622, 626)","[[487, 166, 53, 49], [483, 66, 60, 55]]","[2597, 3300]","[2, 4]",2
755.png,"(1622, 626)","[[1106, 451, 51, 40], [763, 477, 5, 5]]","[2040, 25]","[6, 1]",2
758.png,"(1622, 626)","[[794, 191, 71, 70], [803, 122, 66, 69]]","[4970, 4554]","[5, 2]",2
762.png,"(1622, 626)","[[1530, 32, 91, 106]]",[9646],[2],1
763.png,"(1622, 626)","[[824, 457, 22, 20]]",[440],[3],1
765.png,"(1622, 626)","[[854, 411, 29, 22]]",[638],[6],1
766.png,"(1622, 626)","[[1103, 266, 14, 13], [1101, 283, 16, 13], [743, 277, 11, 12]]","[182, 208, 132]","[1, 7, 5]",3
776.png,"(1622, 626)","[[925, 209, 44, 46]]",[2024],[3],1
781.png,"(1622, 626)","[[910, 449, 10, 8]]",[80],[6],1
782.png,"(1622, 626)","[[806, 208, 45, 49]]",[2205],[2],1
789.png,"(1622, 626)","[[1064, 315, 38, 30]]",[1140],[3],1
790.png,"(1622, 626)","[[785, 477, 11, 12]]",[132],[3],1
794.png,"(1622, 626)","[[842, 419, 15, 14], [979, 419, 5, 5]]","[210, 25]","[1, 5]",2
795.png,"(1622, 626)","[[1051, 467, 49, 44], [810, 468, 18, 17]]","[2156, 306]","[6, 6]",2
796.png,"(1622, 626)","[[919, 288, 19, 20]]",[380],[2],1
800.png,"(1622, 626)","[[529, 93, 66, 53], [690, 313, 14, 16]]","[3498, 224]","[4, 4]",2
803.png,"(1622, 626)","[[764, 482, 9, 9]]",[81],[3],1
804.png,"(1622, 626)","[[1321, 387, 47, 39]]",[1833],[4],1
805.png,"(1622, 626)","[[89, 201, 42, 36], [75, 159, 59, 39]]","[1512, 2301]","[1, 5]",2
807.png,"(1622, 626)","[[816, 191, 18, 17], [815, 176, 17, 14]]","[306, 238]","[2, 5]",2
809.png,"(1622, 626)","[[831, 478, 30, 31]]",[930],[6],1
810.png,"(1622, 626)","[[778, 435, 17, 18]]",[306],[2],1
811.png,"(1622, 626)","[[680, 398, 38, 42], [1167, 402, 21, 21]]","[1596, 441]","[1, 4]",2
816.png,"(1622, 626)","[[1389, 72, 64, 76], [1379, 211, 72, 82]]","[4864, 5904]","[2, 2]",2
817.png,"(1622, 626)","[[205, 145, 23, 31], [210, 178, 22, 28], [216, 208, 19, 21]]","[713, 616, 399]","[5, 2, 6]",3
823.png,"(1622, 626)","[[578, 402, 5, 6], [996, 404, 7, 6]]","[30, 42]","[1, 1]",2
828.png,"(1622, 626)","[[1178, 406, 32, 28], [1066, 407, 20, 17]]","[896, 340]","[6, 2]",2
829.png,"(1622, 626)","[[1056, 444, 13, 15]]",[195],[3],1
832.png,"(1622, 626)","[[803, 469, 14, 14]]",[196],[3],1
833.png,"(1622, 626)","[[1270, 148, 60, 66]]",[3960],[2],1
834.png,"(1622, 626)","[[890, 252, 20, 17]]",[340],[2],1
836.png,"(1622, 626)","[[1436, 369, 48, 39]]",[1872],[4],1
838.png,"(1622, 626)","[[819, 409, 10, 10], [527, 415, 7, 10]]","[100, 70]","[1, 5]",2
840.png,"(1622, 626)","[[326, 213, 17, 16], [810, 217, 13, 12]]","[272, 156]","[2, 2]",2
846.png,"(1622, 626)","[[1019, 166, 45, 45]]",[2025],[2],1
848.png,"(1622, 626)","[[929, 450, 13, 15]]",[195],[6],1
851.png,"(1622, 626)","[[36, 336, 51, 40], [1126, 285, 41, 46]]","[2040, 1886]","[5, 2]",2
852.png,"(1622, 626)","[[101, 307, 34, 28]]",[952],[3],1
853.png,"(1622, 626)","[[1122, 230, 40, 41]]",[1640],[2],1
854.png,"(1622, 626)","[[874, 231, 38, 37], [600, 307, 8, 8], [600, 318, 10, 9]]","[1406, 64, 90]","[3, 1, 7]",3
864.png,"(1622, 626)","[[1517, 353, 67, 47], [1521, 399, 72, 41], [934, 404, 6, 5]]","[3149, 2952, 30]","[6, 6, 1]",3
865.png,"(1622, 626)","[[1113, 337, 17, 17]]",[289],[7],1
867.png,"(1622, 626)","[[1137, 321, 15, 26], [816, 357, 13, 11]]","[390, 143]","[1, 2]",2
868.png,"(1622, 626)","[[1275, 366, 37, 50], [805, 461, 11, 12], [449, 445, 13, 17]]","[1850, 132, 221]","[6, 2, 1]",3
870.png,"(1622, 626)","[[1030, 200, 44, 48]]",[2112],[2],1
872.png,"(1622, 626)","[[1086, 310, 41, 46]]",[1886],[2],1
885.png,"(1622, 626)","[[854, 421, 37, 38]]",[1406],[3],1
888.png,"(1622, 626)","[[976, 375, 39, 37]]",[1443],[6],1
895.png,"(1622, 626)","[[1069, 364, 67, 60]]",[4020],[6],1
900.png,"(1622, 626)","[[919, 204, 38, 41]]",[1558],[2],1
901.png,"(1622, 626)","[[919, 390, 20, 18]]",[360],[6],1
902.png,"(1622, 626)","[[981, 160, 40, 46], [411, 193, 12, 27]]","[1840, 324]","[2, 5]",2
905.png,"(1622, 626)","[[902, 246, 59, 58], [796, 360, 10, 11]]","[3422, 110]","[3, 2]",2
910.png,"(1622, 626)","[[853, 433, 8, 8]]",[64],[1],1
912.png,"(1622, 626)","[[1181, 371, 39, 35]]",[1365],[4],1
914.png,"(1622, 626)","[[1088, 416, 21, 18], [1320, 356, 91, 55], [1329, 407, 92, 54]]","[378, 5005, 4968]","[5, 6, 6]",3
920.png,"(1622, 626)","[[791, 408, 16, 15], [322, 455, 10, 9], [331, 455, 9, 9]]","[240, 90, 81]","[5, 7, 6]",3
925.png,"(1622, 626)","[[893, 202, 19, 18], [893, 221, 20, 19]]","[342, 380]","[5, 2]",2
927.png,"(1622, 626)","[[855, 204, 19, 17], [909, 204, 23, 24]]","[323, 552]","[2, 6]",2
929.png,"(1622, 626)","[[912, 192, 23, 25]]",[575],[2],1
930.png,"(1622, 626)","[[1487, 364, 54, 47], [1429, 365, 57, 46]]","[2538, 2622]","[4, 5]",2
932.png,"(1622, 626)","[[1080, 409, 18, 15]]",[270],[4],1
934.png,"(1622, 626)","[[699, 471, 15, 13], [665, 470, 15, 18]]","[195, 270]","[1, 3]",2
935.png,"(1622, 626)","[[1061, 335, 50, 49], [1215, 332, 54, 53], [33, 327, 80, 64], [48, 264, 87, 59]]","[2450, 2862, 5120, 5133]","[2, 5, 5, 2]",4
937.png,"(1622, 626)","[[1022, 389, 28, 27]]",[756],[5],1
938.png,"(1622, 626)","[[1113, 336, 15, 17]]",[255],[7],1
